Time(sec)_full_semester,Overhead(sec),Time_per_night(sec),N_obs(full_semester),Starname,RAH,RAM,RAS,DECD,DECM,DECS,epoch,vmag=,Vmag,T_exp(sec),T_max(sec),Exp_meter_counts(k),decker,N_obs,Iodine,Priority,Program code,Telescope Propsoal Code,Comment,Include,Done,Cadence
Exposure time + overhead,120,,requested,,,,,,,,,,,,,,,per night,,,(for script),,,Y/N,,min separation
Formula,leave blank,Formula,,,,,,,,,,,,,,,,,,,,,,,,in days
8160,EXAMPLE,900,8,T003629,23,59,10.4,39,18,51,2000,vmag=,14.6,900,900,6,C2,1,in,p1,GB,N090,,N,done,
7140,EXAMPLE,900,7,T004201,06,01,53.9,-13,27,41,2000,vmag=,15.2,900,900,6,C2,1,in,p3,GB,N090,,N,done,
570,,450,1,Gaia_2426,00,36,11.7,-09,32,38,2000,vmag=,13.0,450,450,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_2469,01,09,27.9,-10,34,47,2000,vmag=,15.5,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
570,,450,1,Gaia_4650,02,30,07.5,59,50,47,2000,vmag=,13.1,450,450,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_4140,03,36,30.3,14,19,05,2000,vmag=,14.9,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_2200,03,51,55.2,36,13,32,2000,vmag=,13.9,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
2880,,600,4,Gaia_2076,05,21,56.6,43,59,22,2000,vmag=,12.2,600,600,250,C2,1,out,p1,KB,C307,,Y,,10
720,,600,1,Gaia_1028,08,24,36.9,52,54,27,2000,vmag=,13.6,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_8097,10,07,08.8,44,53,48,2000,vmag=,14.9,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_7471,10,07,21.5,34,08,24,2000,vmag=,14.0,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_1058,10,48,59.4,65,47,56,2000,vmag=,14.5,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
420,,300,1,Gaia_8438,11,11,14.2,55,15,51,2000,vmag=,10.6,300,300,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_1683,12,05,24.7,69,14,28,2000,vmag=,14.3,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_1581,12,20,12.8,58,41,16,2000,vmag=,14.5,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_1579,13,10,49.9,60,16,58,2000,vmag=,14.5,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
420,,300,1,Gaia_1522,13,14,04.1,38,18,04,2000,vmag=,11.1,300,300,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_1694,14,49,18.2,69,19,02,2000,vmag=,13.2,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_1695,15,05,54.8,71,08,04,2000,vmag=,13.1,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_1386,16,16,25.9,46,57,00,2000,vmag=,15.4,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_1350,17,39,56.0,45,02,17,2000,vmag=,13.5,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_4578,18,12,15.0,24,09,14,2000,vmag=,15.0,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_1871,21,02,28.7,37,03,49,2000,vmag=,13.7,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
1020,,900,1,Gaia_2278,21,12,21.0,77,22,37,2000,vmag=,14.6,900,900,250,C2,1,out,p1,KB,C307,,Y,,nan
570,,450,1,Gaia_1801,21,45,24.7,28,37,26,2000,vmag=,12.2,450,450,250,C2,1,out,p1,KB,C307,,Y,,nan
720,,600,1,Gaia_1925,23,46,25.6,43,55,05,2000,vmag=,13.0,600,600,250,C2,1,out,p1,KB,C307,,Y,,nan
3807,,303,9,15337,02,27,28.3,-27,38,12,2000,vmag=,9.1,303,500,250,B5,1,in,p1,JW,H391,"companion at 1.5 arcsec, observe brighter component. ",,,1
3060,,900,3,GJ3193,03,01,50.8,-16,35,42,2000,vmag=,10.5,900,900,120,B5,1,in,p1,JW,H391,"Triple system, observe SE component. ",,,1
1024,,136,4,T001684,04,21,23.1,62,14,41,2000,vmag=,8.2,136,500,250,B5,1,in,p2,JW,H391,,,,1
2790,,345,6,HIP26250,05,35,27.8,21,17,39,2000,vmag=,9.2,345,500,250,B5,1,in,p1,JW,H391,,,,1
6210,,915,6,HIP24007,05,09,34.8,24,19,27,2000,vmag=,10.3,915,1200,250,B5,1,in,p1,JW,H391,"companion at 1 arcsec, observe the East component, rotate the slit to avoid comapnion",,,1
3360,,1000,3, HIP34730,07,11,27.7,48,19,36,2000,vmag=,12.2,1000,1200,50,C2,1,in,p1,JW,H391,,,,1
1280,,40,8,73344,08,38,45.5,23,41,07,2000,vmag=,6.9,40,500,250,B5,1,in,p1,JW,H391,,,,1
1296,,204,4,TIC286132427,09,46,53.9,-04,17,53,2000,vmag=,8.7,204,500,250,B5,1,in,p2,JW,H391,", companion at 1.75'', observe brighter component",,,1
2076,,399,4,HIP57386,11,45,55.5,11,22,15,2000,vmag=,9.4,399,500,250,B5,1,in,p2,JW,H391,"companion at 0.7'', observe brighter component (SW)",,,1
2816,,232,8,96735,11,08,55.9,34,18,11,2000,vmag=,8.8,232,500,250,B5,1,in,p1,JW,H391,,,,1
2196,,246,6,HIP64573,13,14,09.7,-16,33,35,2000,vmag=,8.9,246,500,250,B5,1,in,p1,JW,H391," companion at 1.7'', observe NE component",,,1
2360,,116,10,118203,13,34,02.3,53,43,41,2000,vmag=,8.1,116,500,250,B5,1,in,p1,JW,H391,,,,1
880,,100,4,HIP69275,14,10,53.0,62,31,20,2000,vmag=,8.3,100,500,250,C2,1,out,p2,JW,H391,,,,1
3156,,669,4,HIP81087,16,33,44.0,61,43,06,2000,vmag=,10.0,669,1200,250,B5,1,in,p2,JW,H391," companion at 0.1'', observe brighter component",,,1
588,,27,4,HIP83168,16,59,50.0,58,27,46,2000,vmag=,6.9,27,500,250,C2,1,out,p2,JW,H391,,,,1
2688,,552,4,HIP93711,19,04,54.7,79,45,23,2000,vmag=,9.8,552,1200,250,B5,1,in,p2,JW,H391,,,,1
600,,30,4,HIP96618,19,38,38.7,31,13,09,2000,vmag=,7.6,30,500,250,C2,1,out,p2,JW,H391,KELT-20 b; high vsini srar,,,1
1764,,132,7,HIP102295A,20,43,38.8,19,43,41,2000,vmag=,8.3,132,500,250,B5,1,in,p1,JW,H391,observe SE component,,,1
5124,,734,6,HIP112486,22,47,05.0,29,51,17,2000,vmag=,11.7,734,900,60,B5,1,in,p1,JW,H391,"a close companion at 2 arcsec, rotate the slit to avoid the companion",,,1
3186,,411,6,HIP115594,23,24,55.1,-38,09,39,2000,vmag=,9.4,411,500,250,B5,1,in,p1,JW,H391,"companion at 0.7'', observe NW component, ",,,1
60,,30,4,HIP65205,13,21,48.6,17,45,55,2000,vmag=,7.8,30,500,259,C2,1,out,p2,JW,H392,"companion at 0.65'', observe SE component, ",,,1
198,,78,1,93963,10,51,06.4,25,38,28,2000,vmag=,9.2,78,500,60,B5,1,in,p2,DG,U011,,Y,N,25
216,,96,1,237566,07,00,20.0,56,49,27,2000,vmag=,9.4,96,500,60,B5,1,in,p2,DG,U011,,Y,N,25
2770,,434,5,T001173,13,10,43.9,70,46,04,2000,vmag=,11.0,434,900,60,C2,1,in,p2,DG,U011,,Y,N,25
1569,,403,3,T001174,13,56,52.1,68,37,05,2000,vmag=,11.0,403,900,60,C2,1,in,p2,DG,U011,,Y,N,25
2730,,426,5,T001180,14,18,13.4,82,11,37,2000,vmag=,11.0,426,900,60,C2,1,in,p2,DG,U011,,Y,N,25
3565,,593,5,T001244,17,05,07.1,69,31,08,2000,vmag=,11.4,593,1200,60,C2,1,in,p2,DG,U011,,Y,N,25
5155,,911,5,T001248,17,16,05.7,63,06,20,2000,vmag=,11.8,911,2700,60,C2,1,in,p2,DG,U011,,Y,N,25
1722,,454,3,T001249,13,22,14.8,66,18,30,2000,vmag=,11.1,454,1200,60,C2,1,in,p2,DG,U011,,Y,N,25
4275,,735,5,T001269,16,38,47.2,64,33,33,2000,vmag=,11.6,735,1500,60,C2,1,in,p2,DG,U011,,Y,N,25
2615,,403,5,T001438,18,43,41.7,74,56,16,2000,vmag=,11.0,403,900,60,C2,1,in,p2,DG,U011,,Y,N,25
1284,,308,3,T001443,19,49,35.7,76,08,21,2000,vmag=,10.7,308,900,60,C2,1,in,p2,DG,U011,,Y,N,25
515,,395,1,T001444,20,21,54.0,70,56,37,2000,vmag=,10.9,395,900,60,C2,1,in,p2,DG,U011,,Y,N,25
671,,551,1,T001472,00,56,27.4,48,38,15,2000,vmag=,11.3,551,1200,60,C2,1,in,p2,DG,U011,,Y,N,25
1615,,203,5,T001669,03,03,49.6,83,35,14,2000,vmag=,10.2,203,500,60,C2,1,in,p2,DG,U011,,Y,N,25
308,,188,1,T001691,18,09,37.0,86,51,37,2000,vmag=,10.1,188,500,60,C2,1,in,p2,DG,U011,,Y,N,25
3765,,633,5,T001694,06,30,59.7,66,21,38,2000,vmag=,11.4,633,1500,60,C2,1,in,p2,DG,U011,,Y,N,25
1145,,109,5,T001710,06,17,08.1,76,12,39,2000,vmag=,9.5,109,500,60,B5,1,in,p2,DG,U011,,Y,N,25
1205,,121,5,T001723,07,47,11.3,68,28,36,2000,vmag=,9.7,121,500,60,B5,1,in,p2,DG,U011,,Y,N,25
5090,,898,5,T001753,16,49,52.8,61,10,24,2000,vmag=,11.8,898,1800,60,C2,1,in,p2,DG,U011,,Y,N,25
2320,,344,5,T001758,23,38,58.0,75,41,06,2000,vmag=,10.8,344,900,60,C2,1,in,p2,DG,U011,,Y,N,25
1105,,985,1,T001759,21,47,24.4,62,45,13,2000,vmag=,11.9,985,2700,60,C2,1,in,p2,DG,U011,,Y,N,25
4405,,761,5,T001775,10,00,27.6,39,27,28,2000,vmag=,11.6,761,1800,60,C2,1,in,p2,DG,U011,,Y,N,25
343,,223,1,T001794,13,33,35.4,49,03,39,2000,vmag=,10.3,223,500,60,C2,1,in,p2,DG,U011,,Y,N,25
4365,,753,5,T002088,17,25,30.0,75,52,56,2000,vmag=,11.6,753,1800,60,C2,1,in,p2,DG,U011,,Y,N,25
2230,,326,5,TIC142381532,13,04,52.7,63,45,11,2000,vmag=,10.7,326,900,60,C2,1,in,p2,DG,U011,,Y,N,25
4190,,718,5,WASP156,02,11,07.7,02,25,05,2000,vmag=,11.6,718,1500,60,C2,1,in,p2,DG,U011,,Y,N,25
23760,,1200,18,Ori40003,05,35,15.6,-05,25,14,2000,vmag=,14.00,1200,1800,30,C2,1,out,p1,LH,C404,"pre-ms stellar quadruple system; goal is every night during september with either kpf or hires, EveryNight",Y,N,1