Time(sec)_full_semester,Slew+readout(sec),Time_per_night(sec),N_obs(full_semester),Starname,RAH,RAM,RAS,DECD,DECM,DECS,epoch,jmag=,Jmag,T_exp(sec),T_max(sec),Nobs per,Format1,Nvisits,Format2,Simulcal,gmag=,Gmag,Teff,Teff_val,Gaia_DR3,Gaia_DR3_id,Program code,Format3,priority,Telescope,Comment,Include,Done,Cadence,IntraNightCadence,RM or,,SUM for Each program
711,,471,1,2M22161177+5256226,22,16,11.77,52,56,23,2000,jmag=,10.9,471,500,1,x,1,simulcal=,y,gmag=,10.9,Teff=,5026,Gaia DR3,2004350603002238976,JO,p,2,H357,,,,nan,nan,n,,43966
698,,458,1,2M23570064+5724573,23,57,0.64,57,24,57,2000,jmag=,10.9,458,500,1,x,1,simulcal=,y,gmag=,10.9,Teff=,4428,Gaia DR3,1998109500112204160,JO,p,2,H357,,,,nan,nan,n,,18000
668,,428,1,2M23575198+5616414,23,57,51.98,56,16,41,2000,jmag=,10.9,428,500,1,x,1,simulcal=,y,gmag=,10.9,Teff=,4534,Gaia DR3,1994798801884205696,JO,p,2,H357,,,,nan,nan,n,,18000
360,,120,1,KOI-0063,19,16,54.2808,49,32,54,2000,jmag=,10.40,120,120,1,x,1,simulcal=,y,gmag=,11.5,Teff=,5576,Gaia DR3,2132628489996257920,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0084,19,21,40.9944,37,51,06,2000,jmag=,10.72,120,120,1,x,1,simulcal=,y,gmag=,11.9,Teff=,5541,Gaia DR3,2051106987063242880,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0087,19,16,52.2,47,53,04,2000,jmag=,10.52,120,120,1,x,1,simulcal=,y,gmag=,11.6,Teff=,5642,Gaia DR3,2127941757262806656,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0105,19,55,44.8896,44,51,28,2000,jmag=,11.65,120,120,1,x,1,simulcal=,y,gmag=,12.9,Teff=,5660,Gaia DR3,2079192121810035840,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0112,19,42,35.6904,48,29,44,2000,jmag=,11.70,120,120,1,x,1,simulcal=,y,gmag=,12.8,Teff=,5837,Gaia DR3,2134719834131370496,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0118,19,9,27.0696,38,38,59,2000,jmag=,11.27,120,120,1,x,1,simulcal=,y,gmag=,12.4,Teff=,5747,Gaia DR3,2099605968225288960,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0270,19,34,55.8768,41,54,03,2000,jmag=,10.09,120,120,1,x,1,simulcal=,y,gmag=,11.5,Teff=,5588,Gaia DR3,2077618037775709568,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0283,19,14,7.3968,40,56,32,2000,jmag=,10.42,120,120,1,x,1,simulcal=,y,gmag=,11.5,Teff=,5685,Gaia DR3,2102110174677569664,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0299,19,2,38.796,37,57,52,2000,jmag=,11.67,120,120,1,x,1,simulcal=,y,gmag=,12.9,Teff=,5539,Gaia DR3,2099862910348755712,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0303,19,34,42.0768,41,17,43,2000,jmag=,11.02,120,120,1,x,1,simulcal=,y,gmag=,12.1,Teff=,5637,Gaia DR3,2077409645964537472,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0306,19,57,16.692,41,23,05,2000,jmag=,11.26,120,120,1,x,1,simulcal=,y,gmag=,12.6,Teff=,5323,Gaia DR3,2075161655782111872,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0314,19,21,31.56,43,17,35,2000,jmag=,10.29,120,120,1,x,1,simulcal=,y,gmag=,12.5,Teff=,3871,Gaia DR3,2102053446751282944,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0323,18,56,14.6712,45,30,25,2000,jmag=,11.28,120,120,1,x,1,simulcal=,y,gmag=,12.5,Teff=,5427,Gaia DR3,2106821925598401152,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0372,19,56,29.3856,41,52,00,2000,jmag=,11.29,120,120,1,x,1,simulcal=,y,gmag=,12.4,Teff=,5815,Gaia DR3,2075377679763353984,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0984,19,24,11.712,36,50,24,2000,jmag=,10.46,120,120,1,x,1,simulcal=,y,gmag=,12.4,Teff=,5295,Gaia DR3,2050249406650364160,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-0987,19,42,17.7984,42,48,23,2000,jmag=,11.23,120,120,1,x,1,simulcal=,y,gmag=,12.5,Teff=,5512,Gaia DR3,2077994272606400512,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-1283,19,44,1.7064,44,51,13,2000,jmag=,10.49,120,120,1,x,1,simulcal=,y,gmag=,11.6,Teff=,5775,Gaia DR3,2079752464723012096,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-1478,19,15,23.6712,51,12,33,2000,jmag=,11.30,120,120,1,x,1,simulcal=,y,gmag=,12.4,Teff=,5593,Gaia DR3,2133344791759137152,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-1611,19,16,18.1704,51,45,27,2000,jmag=,9.82,120,120,1,x,1,simulcal=,y,gmag=,11.7,Teff=,4450,Gaia DR3,2133476355197071616,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-1619,19,39,57.6552,39,20,47,2000,jmag=,10.28,120,120,1,x,1,simulcal=,y,gmag=,11.8,Teff=,4834,Gaia DR3,2076237253025202688,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-1800,19,1,4.4616,48,33,36,2000,jmag=,11.21,120,120,1,x,1,simulcal=,y,gmag=,12.4,Teff=,5541,Gaia DR3,2131587531660567296,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-1961,19,10,17.0808,42,48,50,2000,jmag=,11.54,120,120,1,x,1,simulcal=,y,gmag=,12.8,Teff=,5430,Gaia DR3,2102600488143944192,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-1964,19,22,48.888,43,36,26,2000,jmag=,9.40,120,120,1,x,1,simulcal=,y,gmag=,10.7,Teff=,5589,Gaia DR3,2126080314136290560,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2029,19,59,35.1624,46,03,07,2000,jmag=,11.61,120,120,1,x,1,simulcal=,y,gmag=,13.0,Teff=,5212,Gaia DR3,2085281530744134272,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2059,19,10,21.6216,51,03,38,2000,jmag=,11.31,120,120,1,x,1,simulcal=,y,gmag=,13.2,Teff=,4999,Gaia DR3,2133011639737119872,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2079,19,39,54.9168,46,00,20,2000,jmag=,11.66,120,120,1,x,1,simulcal=,y,gmag=,12.9,Teff=,5582,Gaia DR3,2080070975195117312,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2173,19,49,10.1808,49,58,54,2000,jmag=,11.24,120,120,1,x,1,simulcal=,y,gmag=,12.8,Teff=,4844,Gaia DR3,2087250476887856256,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2208,19,22,10.4736,47,43,33,2000,jmag=,11.34,120,120,1,x,1,simulcal=,y,gmag=,12.3,Teff=,5818,Gaia DR3,2129369095153280000,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2287,19,39,47.6592,46,26,19,2000,jmag=,10.85,120,120,1,x,1,simulcal=,y,gmag=,12.4,Teff=,4661,Gaia DR3,2080095512350543744,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2295,19,18,10.8336,39,09,52,2000,jmag=,10.09,120,120,1,x,1,simulcal=,y,gmag=,11.7,Teff=,5424,Gaia DR3,2100954278719435008,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2583,18,53,42.9864,47,35,33,2000,jmag=,11.46,120,120,1,x,1,simulcal=,y,gmag=,12.6,Teff=,5642,Gaia DR3,2107658516506930048,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2675,19,31,53.1,41,02,09,2000,jmag=,11.32,120,120,1,x,1,simulcal=,y,gmag=,12.4,Teff=,5728,Gaia DR3,2053550106200274688,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2678,19,29,33.252,42,13,60,2000,jmag=,10.52,120,120,1,x,1,simulcal=,y,gmag=,11.8,Teff=,5398,Gaia DR3,2125713940547834496,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2754,18,54,58.9968,48,22,24,2000,jmag=,11.03,120,120,1,x,1,simulcal=,y,gmag=,12.1,Teff=,5776,Gaia DR3,2131677584235170048,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2755,19,26,17.8128,38,39,21,2000,jmag=,11.07,120,120,1,x,1,simulcal=,y,gmag=,12.1,Teff=,5830,Gaia DR3,2052740449026979584,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2803,19,39,28.0512,46,47,26,2000,jmag=,11.06,120,120,1,x,1,simulcal=,y,gmag=,12.2,Teff=,5615,Gaia DR3,2128517003703948032,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-2867,19,40,36.1224,46,46,20,2000,jmag=,11.07,120,120,1,x,1,simulcal=,y,gmag=,12.6,Teff=,4945,Gaia DR3,2080481990687615616,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-3158,19,19,0.5496,41,38,05,2000,jmag=,7.24,120,120,1,x,1,simulcal=,y,gmag=,8.7,Teff=,5046,Gaia DR3,2101486923385239808,IB,p,2,U011,,n,n,nan,nan,n,,18000
360,,120,1,KOI-3232,18,48,28.2792,46,13,26,2000,jmag=,11.13,120,120,1,x,1,simulcal=,y,gmag=,12.2,Teff=,5733,Gaia DR3,2119099931425654912,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-3237,19,1,19.3512,42,02,26,2000,jmag=,11.20,120,120,1,x,1,simulcal=,y,gmag=,12.2,Teff=,5733,Gaia DR3,2104172854190854528,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-3246,19,17,41.748,46,43,34,2000,jmag=,10.80,120,120,1,x,1,simulcal=,y,gmag=,12.4,Teff=,4871,Gaia DR3,2127777307254217472,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-3864,19,33,22.7928,39,15,28,2000,jmag=,11.49,120,120,1,x,1,simulcal=,y,gmag=,12.9,Teff=,5011,Gaia DR3,2052368955838887808,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-3876,19,21,45.7608,38,31,25,2000,jmag=,11.46,120,120,1,x,1,simulcal=,y,gmag=,12.6,Teff=,5618,Gaia DR3,2052827207364859264,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-3892,19,22,14.2824,49,56,35,2000,jmag=,11.57,120,120,1,x,1,simulcal=,y,gmag=,12.7,Teff=,5707,Gaia DR3,2130033097097486336,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-4004,18,55,58.8216,39,55,01,2000,jmag=,11.49,120,120,1,x,1,simulcal=,y,gmag=,12.7,Teff=,5761,Gaia DR3,2103314346067173504,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-4032,19,2,54.8376,42,39,16,2000,jmag=,11.42,120,120,1,x,1,simulcal=,y,gmag=,12.6,Teff=,5575,Gaia DR3,2105526799680172032,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-4288,19,9,29.1,39,36,13,2000,jmag=,11.33,120,120,1,x,1,simulcal=,y,gmag=,12.3,Teff=,5882,Gaia DR3,2100418850915010432,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-4292,19,5,32.8632,47,00,60,2000,jmag=,11.69,120,120,1,x,1,simulcal=,y,gmag=,12.8,Teff=,5812,Gaia DR3,2130695518492411904,IB,p,2,U011,,y,n,nan,nan,n,,18000
360,,120,1,KOI-4399,18,48,30.9312,44,18,11,2000,jmag=,10.78,120,120,1,x,1,simulcal=,y,gmag=,12.0,Teff=,5585,Gaia DR3,2105389708623762304,IB,p,2,U011,,y,n,nan,nan,n,,148800
360,,120,1,KOI-4582,19,45,20.8512,43,36,00,2000,jmag=,10.62,120,120,1,x,1,simulcal=,y,gmag=,11.7,Teff=,5737,Gaia DR3,2078794755737702144,IB,p,2,U011,,y,n,nan,nan,n,,148800
10800,,300,20,42813,6,12,13.8,-14,38,56,2000,jmag=,8.055999756,300,300,1,x,1,simulcal=,y,gmag=,9.282242775,Teff=,5398,Gaia DR3,2993561629444856960,TK,p,1,U151,,y,n,1,nan,n,,148800
10800,,300,20,12572,2,3,37.3,21,16,54,2000,jmag=,7.921999931,300,300,1,x,1,simulcal=,y,gmag=,9.033464432,Teff=,5599,Gaia DR3,94468978202180352,TK,p,1,U151,,y,n,1,nan,n,,148800
10800,,300,20,6061,1,2,24,37,11,7,2000,jmag=,7.710999966,300,300,1,x,1,simulcal=,y,gmag=,8.709353447,Teff=,5972,Gaia DR3,369669965470499456,TK,p,1,U151,,y,n,1,nan,n,,148800
10800,,300,20,237566,7,0,19.2,56,49,27,2000,jmag=,8.265000343,300,300,1,x,1,simulcal=,y,gmag=,9.24847126,Teff=,5852,Gaia DR3,1000423609817438592,TK,p,1,U151,,y,n,1,nan,n,,148800
16800,,600,20,T001249,13,22,14.4,66,18,30,2000,jmag=,9.536000252,600,600,1,x,1,simulcal=,y,gmag=,10.69962597,Teff=,5502,Gaia DR3,1678371724905519744,TK,p,1,U151,,y,n,1,nan,n,,148800
16800,,600,20,T001279,12,20,14.4,56,12,5,2000,jmag=,9.333999634,600,600,1,x,1,simulcal=,y,gmag=,10.48054314,Teff=,5414,Gaia DR3,1574358783911530624,TK,p,1,U151,,y,n,1,nan,n,,148800
16800,,600,20,T001472,0,56,26.4,48,38,15,2000,jmag=,9.793999672,600,600,1,x,1,simulcal=,y,gmag=,11.11361885,Teff=,5714,Gaia DR3,402396521052843264,TK,p,1,U151,,y,n,1,nan,n,,148800
10800,,300,20,87620,10,7,14.4,46,6,53,2000,jmag=,8.123999596,300,300,1,x,1,simulcal=,y,gmag=,9.161318779,Teff=,5859,Gaia DR3,810069697186043264,TK,p,1,U151,,y,n,1,nan,n,,148800
16800,,600,20,T005507,9,54,24,6,38,47,2000,jmag=,9.394000053,600,600,1,x,1,simulcal=,y,gmag=,11.94074535,Teff=,3514,Gaia DR3,3850532189108251008,TK,p,1,U151,,y,n,1,nan,n,,148800
16800,,600,20,T005799,20,6,31.2,15,59,24,2000,jmag=,9.741999626,600,600,1,x,1,simulcal=,y,gmag=,12.30795383,Teff=,3521,Gaia DR3,1807887150930343424,TK,p,1,U151,,y,n,1,nan,n,,98660
10800,,300,20,T006026,0,0,52.8,35,45,0,2000,jmag=,8.036999702,300,300,1,x,1,simulcal=,y,gmag=,9.612057686,Teff=,4540,Gaia DR3,2877050883371424768,TK,p,1,U151,,y,n,1,nan,n,,98660
7320,,126,20,3651,0,39,21.8,21,15,1,2000,jmag=,4.47,42,42,3,x,1,simulcal=,y,gmag=,5.654319,Teff=,5240,GaiaDR3,2802397960855105920,AH,p,1,C398,pmra=-0.4611 pmdec=-0.3709,y,n,1,nan,n,,98660
6240,,72,20,4628,0,48,22.9,5,16,50,2000,jmag=,4.37,36,36,2,x,1,simulcal=,y,gmag=,5.467689,Teff=,4960,GaiaDR3,2552925644460225152,AH,p,1,C398,pmra=0.7581 pmdec=-1.1413,y,n,1,nan,n,,98660
6000,,60,20,4614,0,49,6.2,57,48,54,2000,jmag=,2.37,12,12,5,x,1,simulcal=,y,gmag=,3.320067,Teff=,5880,GaiaDR3,425040000962559616,AH,p,1,C398,pmra=1.0871  pmdec=-0.5597 ,y,n,1,nan,n,,98660
6420,,81,20,10476,1,42,29.7,20,16,6,2000,jmag=,3.83,27,27,3,x,1,simulcal=,y,gmag=,4.99968,Teff=,5200,GaiaDR3,96331172942614528,AH,p,1,C398,pmra=-0.3021 pmdec=-0.6775,y,n,1,nan,n,,98660
5760,,48,20,10700,1,44,4.1,-15,56,15,2000,jmag=,2.14,12,12,4,x,1,simulcal=,y,gmag=,3.3004,Teff=,5310,GaiaDR3,2452378776434477184,AH,p,1,C398,pmra=-1.7219 pmdec=0.8542,y,n,1,nan,n,,98660
6720,,96,20,19373,3,9,4,49,36,47,2000,jmag=,3.14,12,12,8,x,1,simulcal=,y,gmag=,3.902639,Teff=,5940,GaiaDR3,436648129327098496,AH,p,1,C398,pmra=1.2622 pmdec=-0.0916,y,n,1,nan,n,,98660
5760,,48,20,26965,4,15,16.3,-7,39,10,2000,jmag=,2.93,12,12,4,x,1,simulcal=,y,gmag=,4.179894,Teff=,5133,GaiaDR3,3195919528989223040,AH,p,1,C398,pmra=-2.2397 pmdec=-3.4203  # Set to N because sharing target with Jacob L.,n,n,1,nan,n,,98660
7620,,141,20,32147,5,0,49,-5,45,13,2000,jmag=,4.45,47,47,3,x,1,simulcal=,y,gmag=,5.886492,Teff=,4800,GaiaDR3,3211461469444773376,AH,p,1,C398,pmra=0.5507 pmdec=-1.1092,y,n,1,nan,n,,98660
7560,,138,20,34411,5,19,8.5,40,5,57,2000,jmag=,3.61,23,23,6,x,1,simulcal=,y,gmag=,4.525885,Teff=,5830,GaiaDR3,188771135583573504,AH,p,1,C398,pmra=0.5193 pmdec=-0.6647,y,n,1,nan,n,,98660
7980,,159,20,50692,6,55,18.7,25,22,32.5,2000,jmag=,4.913,53,53,3,x,1,simulcal=,y,gmag=,5.602784,Teff=,5810,GaiaDR3,3381727613874753536,AH,p,1,C398,pmra=-0.0357 pmdec=0.0251,y,n,1,nan,n,,98660
8480,,184,20,55575,7,15,50.1391,47,14,24,2000,jmag=,4.48,46,46,4,x,1,simulcal=,y,gmag=,5.38816,Teff=,5800,GaiaDR3,974887555341533440,AH,p,1,C398,pmra=0.0294 pmdec=-0.1861,y,n,1,nan,n,,98660
8600,,190,20,86728,10,1,0.6,31,55,25,2000,jmag=,4.27,38,38,5,x,1,simulcal=,y,gmag=,5.204957,Teff=,5760,GaiaDR3,746545172372256384,AH,p,1,C398,pmra=-0.5292 pmdec=-0.4289,y,n,1,nan,n,,98660
7900,,155,20,95128,10,59,27.9,40,25,49,2000,jmag=,3.96,31,31,5,x,1,simulcal=,y,gmag=,4.866588,Teff=,5850,GaiaDR3,777254360337133312,AH,p,1,C398,pmra=-0.3159 pmdec=0.0551,y,n,1,nan,n,,598800
6300,,75,20,95735,11,3,20.1,35,58,11,2000,jmag=,4.2,75,75,1,x,1,simulcal=,y,gmag=,6.551172,Teff=,3589,GaiaDR3,762815470562110464,AH,p,1,C398,pmra=-0.5805 pmdec=-4.7699,y,n,1,nan,n,,304800
598800,,29700,20,MASCARA-1,21,10,12,10,44,20,2000,jmag=,7.8,300,300,99,x,1,simulcal=,n,gmag=,8.3,Teff=,7490,GaiaDR3,1744911763437512064,AH,p,1,C400,"aka HD201585, atmospheric event observation",n,y,nan,nan,y,,0
304800,,15000,20,3167,0,34,57.524,4,22,53.284,2000,jmag=,7.5,300,300,50,x,1,simulcal=,y,gmag=,8.77,Teff=,5300,GaiaDR3,2554032474712538880,WS,p,1,N133,RM effect observations of HD 3167b (3 different nights are scheduled),y,n,nan,nan,y,"Three transit observations scheduled for this program: (HST) 2023-09-21, 2023-09-22, 2023-10-19",